CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
06/5f,16,"5,830",720,NA,Unknown,Unknown
AArch64,4,833,368,NA,Unknown,Mobile/Embedded
AArch64 rev 2 (aarch64),8,"2,404",906,NA,Unknown,Mobile/Embedded
AArch64 rev 4 (aarch64),8,"1,813",588,NA,Unknown,Mobile/Embedded
AC8257V/WAB,8,827,491,NA,Unknown,Unknown
AC8259V/WAB,8,956,512,NA,Unknown,Mobile/Embedded
Allwinner A133,4,680,412,NA,Unknown,Mobile/Embedded
Allwinner A333,5,"1,325",717,NA,Unknown,Mobile/Embedded
Allwinner A523,8,"1,908",586,NA,Unknown,Mobile/Embedded
Allwinner A527,8,"2,187",661,NA,Unknown,Mobile/Embedded
Allwinner A733,8,"3,095","1,347",NA,Unknown,Mobile/Embedded
Allwinner H618,4,667,394,NA,Unknown,Mobile/Embedded
Allwinner h728,8,"1,953",616,NA,Unknown,Mobile/Embedded
AMD 3015Ce,2,"2,099","1,337",6,FT5,Mobile/Embedded
AMD 3015e,2,"2,618","1,294",6,Unknown,Laptop
AMD 3020e,2,"2,399","1,382",6,Unknown,Laptop
AMD 4700S,8,"17,640","2,348",NA,Unknown,Desktop
AMD A10 Micro-6700T APU,4,"1,426",722,5,FT3b,Laptop
AMD A10 PRO-7350B APU,4,"1,862",889,19,FP3,Laptop
AMD A10 PRO-7800B APU,2,"3,317","1,497",65,FM2+,Desktop
AMD A10 PRO-7850B APU,2,"3,441","1,565",95,FM2+,Desktop
AMD A10-4600M APU,2,"1,948","1,082",35,FS1r2,Laptop
AMD A10-4655M APU,2,"1,654",889,25,FP2,Laptop
AMD A10-4657M APU,4,"1,759",940,35,FP2,Laptop
AMD A10-5700 APU,2,"2,752","1,430",65,FM2,Desktop
AMD A10-5745M APU,4,"1,773",943,25,FP2,Laptop
AMD A10-5750M APU,4,"2,044","1,168",35,FS1r2,Laptop
AMD A10-5757M APU,4,"1,994","1,150",35,FP2,Laptop
AMD A10-5800B APU,2,"3,027","1,574",100,FM2,Desktop
AMD A10-5800K APU,2,"2,966","1,492",100,FM2,Desktop
AMD A10-6700 APU,4,"3,114","1,603",65,FM2,Desktop
AMD A10-6700T APU,2,"2,299","1,290",45,FM2,Desktop
AMD A10-6790B APU,4,"1,644",881,100,FM2,Desktop
AMD A10-6790K APU,2,"3,112","1,554",100,FM2,Desktop
AMD A10-6800B APU,2,"3,155","1,666",100,FM2,Desktop
AMD A10-6800K APU,2,"3,189","1,588",100,FM2,Desktop
AMD A10-7300 APU,4,"1,739",861,19,FP3,Laptop
AMD A10-7400P,4,"2,134","1,036",35,FP3,Laptop
AMD A10-7700K APU,2,"3,183","1,424",95,FM2+,Desktop
AMD A10-7800 APU,2,"3,214","1,453",65,FM2+,Desktop
AMD A10-7850K APU,2,"3,391","1,496",95,FM2+,Desktop
AMD A10-7860K,2,"3,215","1,458",65,FM2+,Desktop
AMD A10-7870K,2,"3,508","1,538",95,FM2+,Desktop
AMD A10-7890K,2,"3,551","1,580",95,FM2+,Desktop
AMD A10-8700P,2,"2,254","1,164",35,FP4,Laptop
AMD A10-8750,2,"3,205","1,489",65,FM2+,Desktop
AMD A10-8850,2,"3,438","1,608",NA,Unknown,Desktop
AMD A10-9600P,4,"2,329","1,139",15,FP4,Laptop
AMD A10-9620P,4,"2,515","1,267",15,Unknown,Laptop
AMD A10-9630P,4,"3,041","1,422",35,FP4,Laptop
AMD A10-9700,4,"3,557","1,621",65,AM4,Desktop
AMD A10-9700E,4,"3,250","1,511",35,AM4,Desktop
AMD A12-9700P,4,"2,419","1,212",15,FP4,Laptop
AMD A12-9720P,4,"2,629","1,288",15,FP4,Laptop
AMD A12-9730P,4,"2,992","1,415",35,FP4,Laptop
AMD A12-9800,2,"3,701","1,709",65,AM4,Desktop
AMD A12-9800E,4,"3,416","1,566",35,AM4,Desktop
AMD A4 Micro-6400T APU,4,"1,082",540,4.5,FT3b,Laptop
AMD A4 PRO-3340B,4,"1,719",697,25,BGA769 (FT3),Laptop
AMD A4 PRO-7300B APU,1,"1,458","1,445",65,Unknown,Desktop
AMD A4 PRO-7350B,1,"1,544","1,438",65,FM2+,Desktop
AMD A4-1200 APU,2,375,304,3.9,FT3,Laptop
AMD A4-1250 APU,2,421,328,8,FT3,Laptop
AMD A4-1350 APU,4,911,345,8,FT3,Laptop
AMD A4-3300 APU,2,962,993,65,FM1,Desktop
AMD A4-3300M APU,2,728,789,65,FM1,Laptop
AMD A4-3305M APU,2,767,836,35,FS1,Laptop
AMD A4-3310MX APU,2,800,839,45,FS1,Laptop
AMD A4-3320M APU,2,668,708,35,FS1,Laptop
AMD A4-3330MX APU,2,761,921,45,FS1 uPGA,Laptop
AMD A4-3400 APU,2,"1,066","1,063",65,FM1,Desktop
AMD A4-3420 APU,2,"1,067","1,119",65,FM1,Desktop
