Videocard Name,G3D Mark,G2D Mark,TDP (W),VRAM (MB),Category
256MB DDR Radeon 9800 XT,38,192,NA,NA,Unknown
6FDF:FF,"9,529",682,NA,NA,Desktop
7900 MOD - Radeon HD 6520G,610,323,NA,NA,Unknown
7900 MOD - Radeon HD 6550D,893,536,NA,NA,Unknown
"@oem27.inf,%winmv2%;mv video hook driver2","1,707",419,NA,NA,Desktop
A10-12Q,"9,493",627,NA,NA,Desktop
A10-24Q,"12,090",467,NA,NA,Desktop
A10-4Q,"3,102",183,NA,NA,Desktop
A10-8Q,"6,648",385,NA,NA,Unknown
A100-SXM4-40GB,"13,326",862,NA,NA,Desktop
A10G,"13,598",572,NA,NA,Desktop
A16,"5,281",437,NA,NA,Unknown
A16-16A,"1,069",38,NA,NA,Desktop
A16-16Q,"3,873",78,NA,NA,Desktop
A16-1B,"2,220",72,NA,NA,Desktop
A16-1Q,"3,431",69,NA,NA,Desktop
A16-2B,"2,178",60,NA,NA,Desktop
A16-2Q,"4,747",92,NA,NA,Unknown
A16-4Q,"3,848",84,NA,NA,Desktop
A16-8Q,"4,769",88,NA,NA,Unknown
A2-2Q,"3,331",58,NA,NA,Desktop
A2-4Q,"4,423",66,NA,NA,Desktop
A40,741,23,NA,NA,Desktop
A40-24Q,"3,318",59,NA,NA,Unknown
A40-2Q,"1,503",79,NA,NA,Desktop
A40-3Q,"5,842",96,NA,NA,Unknown
A40-48Q,"10,436",293,NA,NA,Unknown
A40-4Q,"3,279",76,NA,NA,Desktop
A40-6Q,787,20,NA,NA,Unknown
A40-8Q,"7,716",317,NA,NA,Desktop
A6 Micro-6500T Quad-Core APU with RadeonR4,220,127,NA,NA,Unknown
ABIT Siluro T400,4,151,NA,NA,Unknown
ALL-IN-WONDER 9000,5,103,NA,NA,Unknown
ALL-IN-WONDER 9800,23,139,NA,NA,Unknown
ALL-IN-WONDER RADEON 8500DV,6,128,NA,NA,Unknown
All-in-Wonder X1800XL,30,283,NA,NA,Unknown
All-in-Wonder X1900,127,445,NA,NA,Unknown
ALL-IN-WONDER X800 GT,84,186,NA,NA,Unknown
AMD Ryzen Z1 Extreme,"6,447",800,NA,NA,Unknown
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,110,NA,NA,Unknown
ASUS A7000,9,164,NA,NA,Unknown
ASUS AGP-V3800PRO v31.40H,5,149,NA,NA,Unknown
ASUS EAH4870x2,496,539,NA,NA,Unknown
Asus GTX 650 FML II EC-EGPU,721,534,NA,NA,Unknown
ASUS V9520-X V62.11,8,208,NA,NA,Unknown
B8DKMDAP,"4,557",534,NA,NA,Unknown
Barco MXRT 1450,206,520,NA,NA,Unknown
Barco MXRT 2600,900,649,NA,NA,Unknown
Barco MXRT 5400,"1,161",457,NA,NA,Unknown
Barco MXRT 5450,"1,079",478,NA,NA,Unknown
Barco MXRT 5500,"2,702",510,NA,NA,Unknown
Barco MXRT 5600,"2,466",644,NA,NA,Unknown
Barco MXRT 7100,180,659,NA,NA,Unknown
Barco MXRT 7400,901,682,NA,NA,Unknown
Barco MXRT 7500,"3,753",731,NA,NA,Unknown
Barco MXRT 7600,"4,944",442,NA,NA,Unknown
BASICDISPLAY,70,691,NA,NA,Unknown
Beijing Fantasy Technology Fantasy II-M,287,177,NA,NA,Desktop
CARRIZO 9874,227,72,NA,NA,Unknown
Citrix Indirect Display Adapter,"1,888",445,NA,NA,Unknown
CMP 30HX,"4,892",158,NA,NA,Unknown
CMP 40HX,"9,137",278,NA,NA,Unknown
CONNECT 3D RADEON X300,36,191,NA,NA,Unknown
Custom GPU 0405,"2,934",383,NA,NA,Unknown
Custom GPU 0932,"3,254",345,NA,NA,Desktop
CXDisplay Device,"13,988",945,NA,NA,Desktop
DameWare Development Mirror Driver 64-bit Ryzen 3,"2,401",614,NA,NA,Desktop
DameWare Development Mirror Driver 64-bit Ryzen 7,"5,350",732,NA,NA,Desktop
Dell 8100,2,58,NA,NA,Unknown
Dell 8200,4,205,NA,NA,Unknown
Diamond X1300-PCIE 256MB,70,286,NA,NA,Unknown
DisplayLink USB Device Ryzen 5 5625U,988,454,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 3750H,"1,605",309,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 5700U,"1,456",449,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 5800H,"3,071",827,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 6800H,"4,445",472,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 7735HS,"5,754",906,NA,NA,Desktop
DisplayLink USB Device Ryzen 7 Pro 7735U,"2,678",527,NA,NA,Desktop
DisplayLink USB Device Ryzen 9 6900HX,"4,857",510,NA,NA,Desktop
EAH5450,134,216,NA,NA,Unknown
Easy&Light Display HUB Virtual Display,"8,576",713,NA,NA,Desktop
EG PARK,141,7,NA,NA,Unknown
EIZO MED-X5000,"3,038",405,NA,NA,Unknown
EIZO MED-XN43,"3,843",767,NA,NA,Desktop
EIZO MED-XN44,"5,049",821,NA,NA,Desktop
EIZO Quadro MED-XN31LP,"1,648",573,NA,NA,Desktop
EIZO Quadro MED-XN51LP,"4,951",776,NA,NA,Unknown
EIZO Quadro MED-XN71,"8,518",583,NA,NA,Desktop
EIZO Quadro MED-XN72,"9,037",661,NA,NA,Desktop
EIZO Quadro MED-XN91,"11,748",684,NA,NA,Desktop
EIZO Quadro MED-XN92,"17,036",920,NA,NA,Desktop
Embedded Radeon E9173,"1,771",340,NA,NA,Unknown
Eng Sample: 100-000000560-40_Y,"5,656",771,NA,NA,Unknown
Eng Sample: 100-000000561-40_Y,"4,206",749,NA,NA,Unknown
Eng Sample: 100-000000562-40_Y,"2,370",768,NA,NA,Unknown
EPSON Projector Support Driver for UD,"7,579","1,052",NA,NA,Desktop
extension Adapter,"6,726","1,009",NA,NA,Unknown
Extreme AX850 PRO,120,218,NA,NA,Unknown
FireGL T2-128,31,178,NA,128 MB,Workstation
FireGL V3100,53,275,NA,128 MB,Workstation
FireGL V3200,85,236,NA,128 MB,Workstation
FireGL V3300,71,326,NA,128 MB,Workstation
FireGL V3350,69,336,NA,256 MB,Workstation
FireGL V3400,103,353,NA,128 MB,Workstation
FireGL V3600,180,399,NA,256 MB,Workstation
FireGL V5100,93,250,NA,128 MB,Workstation
FireGL V5200,115,348,NA,256 MB,Workstation
FireGL V5600,341,445,NA,512 MB,Workstation
FireGL V7100,72,223,NA,256 MB,Workstation
FireGL V7200,116,348,NA,256 MB,Workstation
FireGL V7300,128,322,NA,512 MB,Workstation
FireGL V7350,111,344,NA,1024 MB,Workstation
FireGL V7600,616,488,NA,512 MB,Workstation
FireGL V7700,660,422,NA,512 MB,Workstation
FireGL V8600,839,406,NA,1024 MB,Workstation
FireGL V8650,550,637,NA,2048 MB,Workstation
FireGL X1,59,167,NA,NA,Unknown
FireMV 2200 PCI,1,153,NA,64 MB,Workstation
FireMV 2200 PCIe,36,259,NA,128 MB,Workstation
FireMV 2250,46,290,NA,NA,Unknown
FireMV 2260,117,488,15,256 MB,Workstation
FireMV 2400 PCIe,11,283,NA,256 MB,Workstation
FireMV 2450,74,610,NA,NA,Unknown
FirePro 2260,113,431,NA,NA,Unknown
FirePro 2270,142,173,17,1024 MB,Workstation
FirePro 2450,51,482,36,512 MB,Workstation
FirePro 2460,170,352,17,512 MB,Workstation
FirePro 3D V3700,179,466,32,256 MB,Workstation
FirePro 3D V3750,341,467,48,256 MB,Workstation
FirePro 3D V3800,472,507,43,512 MB,Workstation
FirePro 3D V4800,854,324,69,1024 MB,Workstation
FirePro 3D V5700,547,517,58,512 MB,Workstation
FirePro 3D V5800,"1,232",339,74,1024 MB,Workstation
FirePro 3D V7750,545,468,76,1024 MB,Workstation
FirePro 3D V7800,"1,867",562,138,2048 MB,Workstation
FirePro 3D V8700,"1,206",515,151,1024 MB,Workstation
FirePro 3D V8750,"1,272",542,154,2048 MB,Workstation
FirePro 3D V8800,"2,438",632,208,2048 MB,Workstation
FirePro 3D V9800,"2,812",556,225,4096 MB,Workstation
FirePro M2000,426,205,NA,1024 MB,Workstation
FirePro M4000,"1,599",405,NA,2048 MB,Workstation
FirePro M4000 Mobility Pro,"1,629",436,NA,NA,Unknown
FirePro M40003,"1,364",652,NA,NA,Unknown
Firepro M4100,"1,059",623,NA,2048 MB,Workstation
FirePro M4150,"1,022",166,NA,NA,Unknown
FirePro M4170,"1,168",210,NA,NA,Unknown
FirePro M5100,"1,874",405,NA,2048 MB,Workstation
FirePro M5100 FireGL V,"1,839",867,NA,NA,Unknown
FirePro M5950,"1,314",574,NA,1024 MB,Workstation
FirePro M6000,"1,820",776,NA,2048 MB,Workstation
FirePro M6000 Mobility Pro,"1,741",372,NA,NA,Unknown
FirePro M6100,"2,495",288,NA,2048 MB,Workstation
FirePro M6100 FireGL V,"2,885",330,NA,NA,Unknown
FirePro M7740,665,415,NA,1024 MB,Workstation
FirePro R5000,"2,647",625,NA,NA,Unknown
FirePro RG220,335,552,35,512 MB,Workstation
FirePro S10000,"4,537",494,NA,NA,Unknown
FirePro S7000,"4,524",705,150,4096 MB,Workstation
FirePro S7150,"3,770",414,NA,NA,Unknown
FirePro S9000,"5,059",561,NA,NA,Unknown
FirePro S9050,"4,901",369,NA,NA,Unknown
FirePro V3800,321,179,NA,NA,Unknown
FirePro V3900,631,240,50,1024 MB,Workstation
FirePro V4900,"1,003",356,75,1024 MB,Workstation
FirePro V5700,465,469,NA,NA,Unknown
FirePro V5800,"1,184",273,NA,NA,Unknown
FirePro V5900,"1,232",352,75,2048 MB,Workstation
FirePro V7000,"3,162",668,NA,NA,Unknown
FirePro V7800,"2,028",307,NA,NA,Unknown
FirePro V7900,"2,261",352,150,2048 MB,Workstation
FirePro V8700,"1,539",527,NA,NA,Unknown
FirePro V8800,"2,281",445,NA,NA,Unknown
FirePro V9800,"2,727",655,NA,NA,Unknown
FirePro W2100,851,306,26,2048 MB,Workstation
FirePro W4100,"1,489",452,50,2048 MB,Workstation
FirePro W4170M,"1,051",207,NA,NA,Unknown
Firepro W4190M,"1,175",175,NA,NA,Unknown
FirePro W4300,"2,719",575,50,4096 MB,Workstation
FirePro W5000,"2,967",565,75,2048 MB,Workstation
FirePro W5100,"2,971",531,75,4096 MB,Workstation
FirePro W5130M,"1,426",278,NA,NA,Unknown
Firepro W5170M,"1,782",327,NA,2048 MB,"Mobile, Workstation"
FirePro W600,"1,695",575,75,2048 MB,Workstation
FirePro W6150M,"2,358",286,NA,NA,Unknown
FirePro W7000,"4,314",549,150,4096 MB,Workstation
FirePro W7000 Adapter,"4,383",603,NA,NA,Unknown
FirePro W7100,"5,072",661,150,8192 MB,Workstation
FirePro W7170M,"3,694",368,NA,NA,Unknown
FirePro W8000,"4,259",533,189,4096 MB,Workstation
FirePro W8100,"6,812",741,220,8192 MB,Workstation
FirePro W9000,"6,145",747,274,6144 MB,Workstation
FirePro W9100,"7,748",796,275,16384 MB,Workstation
FireStream 9170,647,493,NA,NA,Unknown
FireStream 9250,"1,165",465,150,1024 MB,Workstation
FireStream 9270,"1,341",473,160,2048 MB,Workstation
FireStream 9370,"2,528",763,225,4096 MB,Workstation
Fresco Logic IDDCX Adapter,"1,276",288,NA,NA,Unknown
GameViewer Virtual Display Adapter,"14,843",801,NA,NA,Desktop
GeCube RADEON 7000,9,144,NA,NA,Unknown
GeForce 205,126,309,30.5,512 MB,Desktop
GeForce 210,139,30,30.5,1024 MB,Desktop
GeForce 240M GT,320,434,NA,NA,Mobile
GeForce 256,5,201,NA,NA,Unknown
GeForce 305M,151,149,14,512 MB,Mobile
GeForce 310,144,40,30.5,512 MB,Desktop
GeForce 310M,127,21,14,512 MB,Mobile
GeForce 315,196,45,33,512 MB,Desktop
GeForce 315M,115,35,14,512 MB,Mobile
GeForce 320M,190,46,20,256 MB,Mobile
GeForce 405,118,52,NA,NA,Unknown
GeForce 410M,274,132,12,512 MB,Mobile
GeForce 505,144,62,NA,NA,Unknown
GeForce 510,290,163,25,2048 MB,Desktop
GeForce 605,331,168,NA,NA,Unknown
GeForce 6100,27,44,NA,NA,Unknown
GeForce 6100 nForce 400,25,242,NA,NA,Unknown
GeForce 6100 nForce 405,27,56,NA,NA,Unknown
GeForce 6100 nForce 420,25,234,NA,NA,Unknown
GeForce 6100 nForce 430,23,249,NA,NA,Unknown
GeForce 610M,292,114,NA,NA,Mobile
GeForce 615,505,286,NA,NA,Unknown
GeForce 6150,22,250,NA,NA,Unknown
GeForce 6150 LE,33,30,NA,NA,Unknown
GeForce 6150SE,25,266,NA,NA,Unknown
GeForce 6150SE nForce 430,31,15,NA,NA,Unknown
GeForce 6200,37,31,NA,256 MB,Desktop
GeForce 6200 A-LE,32,192,NA,256 MB,Desktop
GeForce 6200 LE,33,56,NA,256 MB,Desktop
GeForce 6200 TurboCache,52,40,NA,NA,Unknown
GeForce 6200A,4,117,NA,128 MB,Desktop
GeForce 6200SE TurboCache,37,146,NA,NA,Unknown
GeForce 6500,38,300,NA,256 MB,Desktop
GeForce 6600,86,37,NA,256 MB,Desktop
GeForce 6600 GT,143,53,NA,256 MB,Desktop
GeForce 6600 LE,51,234,NA,256 MB,Desktop
GeForce 6610 XL,89,288,NA,NA,Unknown
GeForce 6700 XL,95,243,NA,NA,Unknown
GeForce 6800,113,258,NA,256 MB,Desktop
